number,value,datetime_start,datetime_complete,duration,params_beat1,params_learning_rate,state
65,,2024-05-12 17:34:51.115049,2024-05-12 17:37:27.046073,0 days 00:02:35.931024,0.8792890625,0.010960228525658778,FAIL
66,1.4906770250736139,2024-05-12 17:37:27.046073,2024-05-12 17:42:17.913061,0 days 00:04:50.866988,0.9787890625,0.07750051913847555,COMPLETE
67,,2024-05-12 17:42:17.914064,2024-05-12 17:45:22.981709,0 days 00:03:05.067645,0.8295390625000001,0.20608534647263058,FAIL
68,3.877577455252664,2024-05-12 17:45:22.982709,2024-05-12 17:50:13.779429,0 days 00:04:50.796720,0.9290390625,0.029144869198795255,COMPLETE
69,1.3071700107847524,2024-05-12 17:50:13.779429,2024-05-12 17:55:05.089610,0 days 00:04:51.310181,0.8046640625,0.047526229527804956,COMPLETE
70,,2024-05-12 17:55:05.089610,2024-05-12 17:58:17.972944,0 days 00:03:12.883334,0.9041640625,0.3360611918333919,FAIL
71,,2024-05-12 17:58:17.973451,2024-05-12 18:02:06.062566,0 days 00:03:48.089115,0.8544140625000001,0.12637927574749538,FAIL
72,,2024-05-12 18:02:06.062566,2024-05-12 18:05:07.913860,0 days 00:03:01.851294,0.9539140625,0.017872728576499717,FAIL
73,4.524900369855583,2024-05-12 18:05:07.913860,2024-05-12 18:09:56.565418,0 days 00:04:48.651558,0.8419765625000001,0.022823197334897107,COMPLETE
74,1.3668925925197764,2024-05-12 18:09:56.566416,2024-05-12 18:14:44.319844,0 days 00:04:47.753428,0.9414765625,0.16138437603864478,COMPLETE
75,,2024-05-12 18:14:44.320840,2024-05-12 18:17:50.271990,0 days 00:03:05.951150,0.8917265625,0.4291449324586757,FAIL
76,,2024-05-12 18:17:50.271990,2024-05-12 18:22:09.404329,0 days 00:04:19.132339,0.9912265625,0.060690258370674516,FAIL
77,3.1180637575622296,2024-05-12 18:22:09.404329,2024-05-12 18:26:53.701158,0 days 00:04:44.296829,0.8668515625000001,0.0372175461724681,COMPLETE
78,1.4892443810772693,2024-05-12 18:26:53.701158,2024-05-12 18:31:42.553675,0 days 00:04:48.852517,0.9663515625,0.2631677927767562,COMPLETE
79,,2024-05-12 18:31:42.554675,2024-05-12 18:35:05.688865,0 days 00:03:23.134190,0.8171015625,0.09896696155169889,FAIL
80,,2024-05-12 18:35:05.689865,2024-05-12 18:37:55.823601,0 days 00:02:50.133736,0.9166015625,0.013996041925326932,FAIL
81,4.0797845628590155,2024-05-12 18:37:55.823601,2024-05-12 18:42:44.906320,0 days 00:04:49.082719,0.8233203125,0.01581605065990491,COMPLETE
82,,2024-05-12 18:42:44.907320,2024-05-12 18:47:23.319216,0 days 00:04:38.411896,0.9228203125000001,0.11183636673208729,FAIL
83,,2024-05-12 18:47:23.319216,2024-05-12 18:50:26.045227,0 days 00:03:02.726011,0.8730703125,0.29738944516024746,FAIL
84,,2024-05-12 18:50:26.045227,2024-05-12 18:54:27.013730,0 days 00:04:00.968503,0.9725703125,0.04205721866522319,FAIL
85,,2024-05-12 18:54:27.013730,2024-05-12 18:57:28.733822,0 days 00:03:01.720092,0.8979453125,0.0685822610474129,FAIL
86,2.314066695861327,2024-05-12 18:57:28.734823,2024-05-12 19:02:19.328982,0 days 00:04:50.594159,0.9974453125,0.4849498185573166,COMPLETE
87,,2024-05-12 19:02:19.329989,2024-05-12 19:05:42.966910,0 days 00:03:23.636921,0.8481953125,0.182370378765833,FAIL
88,3.3817801255191493,2024-05-12 19:05:42.966910,2024-05-12 19:10:29.802505,0 days 00:04:46.835595,0.9476953125,0.02579106630257594,COMPLETE
89,2.436107295127506,2024-05-12 19:10:29.802505,2024-05-12 19:15:15.535545,0 days 00:04:45.733040,0.8606328125,0.02019685151736546,COMPLETE
90,,2024-05-12 19:15:15.536545,2024-05-12 19:18:04.111648,0 days 00:02:48.575103,0.9601328125,0.14281330666546926,FAIL
91,,2024-05-12 19:18:04.111648,2024-05-12 19:22:32.723779,0 days 00:04:28.612131,0.8108828125,0.3797617114340558,FAIL
92,,2024-05-12 19:22:32.724779,2024-05-12 19:25:37.629248,0 days 00:03:04.904469,0.9103828125,0.05370641627800596,FAIL
93,,2024-05-12 19:25:37.630248,2024-05-12 19:28:42.542602,0 days 00:03:04.912354,0.8357578125,0.03293479186357044,FAIL
94,,2024-05-12 19:28:42.543602,2024-05-12 19:33:10.741758,0 days 00:04:28.198156,0.9352578125,0.23288414663698184,FAIL
95,1.339010880798356,2024-05-12 19:33:10.741758,2024-05-12 19:37:47.726292,0 days 00:04:36.984534,0.8855078125,0.08757848421738194,COMPLETE
96,2.2245971164387517,2024-05-12 19:37:47.726292,2024-05-12 19:42:24.666697,0 days 00:04:36.940405,0.9850078125,0.012385468015229963,COMPLETE
97,,2024-05-12 19:42:24.666697,2024-05-12 19:44:53.344475,0 days 00:02:28.677778,0.8264296875,0.011651075480150222,FAIL
98,,2024-05-12 19:44:53.344475,2024-05-12 19:49:13.246265,0 days 00:04:19.901790,0.9259296875,0.08238554480130533,FAIL
99,,2024-05-12 19:49:13.246265,2024-05-12 19:51:41.910307,0 days 00:02:28.664042,0.8761796875000001,0.2190753524421798,FAIL
